#NODE
N1,00:00:00:00:00:01,192.168.0.2/24,192.168.0.1
N2,00:00:00:00:00:02,192.168.2.2/24,192.168.2.1
N3,00:00:00:00:00:03,192.168.4.2/24,192.168.4.1
N4,00:00:00:00:00:04,192.168.6.2/24,192.168.6.1
N5,00:00:00:00:00:05,192.168.9.2/24,192.168.9.1
N6,00:00:00:00:00:06,192.168.0.3/24,192.168.0.1
#ROUTER
R1,3,00:00:00:00:00:A1,192.168.0.1/24,00:00:00:00:00:A2,192.168.1.1/24,00:00:00:00:00:A3,192.168.10.1/24
R2,3,00:00:00:00:00:B1,192.168.2.1/24,00:00:00:00:00:B2,192.168.1.2/24,00:00:00:00:00:B3,192.168.3.1/24
R3,4,00:00:00:00:00:C1,192.168.4.1/24,00:00:00:00:00:C2,192.168.3.2/24,00:00:00:00:00:C3,192.168.5.2/24,00:00:00:00:00:C4,192.168.8.1/24
R4,4,00:00:00:00:00:D1,192.168.6.1/24,00:00:00:00:00:D2,192.168.10.2/24,00:00:00:00:00:D3,192.168.5.1/24,00:00:00:00:00:D4,192.168.7.1/24
R5,3,00:00:00:00:00:E1,192.168.9.1/24,00:00:00:00:00:E2,192.168.8.2/24,00:00:00:00:00:E3,192.168.7.2/24
#ROUTERTABLE
R1,192.168.0.0/24,0.0.0.0,0
R1,192.168.1.0/24,0.0.0.0,1
R1,192.168.10.0/24,0.0.0.0,2
R1,192.168.6.0/24,192.168.10.2,2
R1,0.0.0.0/0,192.168.1.2,1
R2,192.168.2.0/24,0.0.0.0,0
R2,192.168.1.0/24,0.0.0.0,1
R2,192.168.3.0/24,0.0.0.0,2
R2,192.168.0.0/24,192.168.1.1,1
R2,192.168.10.0/24,192.168.1.1,1
R2,192.168.6.0/24,192.168.1.1,1
R2,0.0.0.0/0,192.168.3.2,2
R3,192.168.4.0/24,0.0.0.0,0
R3,192.168.3.0/24,0.0.0.0,1
R3,192.168.5.0/24,0.0.0.0,2
R3,192.168.8.0/24,0.0.0.0,3
R3,192.168.0.0/24,192.168.3.1,1
R3,192.168.1.0/24,192.168.3.1,1
R3,192.168.2.0/24,192.168.3.1,1
R3,192.168.6.0/24,192.168.5.1,2
R3,192.168.7.0/24,192.168.5.1,2
R3,192.168.10.0/24,192.168.5.1,2
R3,192.168.9.0/24,192.168.8.2,3
R4,192.168.6.0/24,0.0.0.0,0
R4,192.168.10.0/24,0.0.0.0,1
R4,192.168.5.0/24,0.0.0.0,2
R4,192.168.7.0/24,0.0.0.0,3
R4,0.0.0.0/0,192.168.7.2,3
R5,192.168.9.0/24,0.0.0.0,0
R5,192.168.8.0/24,0.0.0.0,1
R5,192.168.7.0/24,0.0.0.0,2
R5,192.168.0.0/24,192.168.7.1,2
R5,192.168.1.0/24,192.168.7.1,2
R5,192.168.10.0/24,192.168.7.1,2
R5,192.168.6.0/24,192.168.7.1,2
R5,192.168.5.0/24,192.168.7.1,2
R5,192.168.4.0/24,192.168.8.1,1
R5,192.168.3.0/24,192.168.8.1,1
R5,192.168.2.0/24,192.168.8.1,1
